SALES,Sales Invoice Line,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Document No.,Line No.,Sell-to Customer No.,Type,No.,Location Code,Posting Group,Shipment Date,Description,Description 2,Unit of Measure,Quantity,Unit Price,Unit Cost ($),Tax %,Line Discount %,Line Discount Amount,Amount,Amount Including Tax,Allow Invoice Disc.,Gross Weight,Net Weight,Units per Parcel,Unit Volume,Appl.-to Item Entry,Shortcut Dimension 1 Code,Shortcut Dimension 2 Code,Customer Price Group,Job No.,Work Type Code,Shipment No.,Shipment Line No.,Order No.,Order Line No.,Bill-to Customer No.,Inv. Discount Amount,Drop Shipment,Gen. Bus. Posting Group,Gen. Prod. Posting Group,VAT Calculation Type,Transaction Type,Transport Method,Attached to Line No.,Exit Point,Area,Transaction Specification,Tax Category,Tax Area Code,Tax Liable,Tax Group Code,Tax Clause Code,VAT Bus. Posting Group,VAT Prod. Posting Group,Blanket Order No.,Blanket Order Line No.,Tax Base Amount,Unit Cost,System-Created Entry,Line Amount,Tax Difference,Tax Identifier,IC Partner Ref. Type,IC Partner Reference,Prepayment Line,IC Partner Code,Posting Date,IC Item Reference No.,Pmt. Discount Amount,Line Discount Calculation,Dimension Set ID,Job Task No.,Job Contract Entry No.,Deferral Code,Allocation Account No.,Variant Code,Bin Code,Qty. per Unit of Measure,Unit of Measure Code,Quantity (Base),FA Posting Date,Depreciation Book Code,Depr. until FA Posting Date,Duplicate in Depreciation Book,Use Duplication List,Responsibility Center,Item Category Code,Catalog,Purchasing Code,Item Reference No.,Unit of Measure (Item Ref.),Item Reference Type,Item Reference Type No.,Appl.-from Item Entry,Return Reason Code,Price Calculation Method,Allow Line Disc.,Customer Disc. Group,Price description,Package Tracking No.,Retention Attached to Line No.,Retention tax %,Custom Transit Number,Shopify Order Line Id,Shopify Order No.
PS-INV103001,10000,20000,Item,1928-S,,RESALE,2023-10-30,AMSTERDAM Lamp,,Piece,3,54.9,42.8,5,0,0,164.7,172.94,true,4.03,3.5,0,0.03,0,SALES,MEDIUM,,,,,0,,0,20000,0,false,DOMESTIC,RETAIL,Sales Tax,,,,,,,,"CHICAGO, IL",true,FURNITURE,,,,,,164.7,42.8,false,164.7,0,,,,false,,2022-01-18,,0,None,4,,0,,,,,1,PCS,3,,,false,,false,,MISC,false,,,,,,0,,Lowest Price,true,,,,0,0,,0,
PS-INV103002,10000,10000,Item,1960-S,,RESALE,2023-10-30,"ROME Guest Chair, green",,Piece,4,192.8,150.3,6,0,0,771.2,817.47,true,9.55,8.3,0,0.25,0,SALES,SMALL,,,,,0,,0,10000,0,false,DOMESTIC,RETAIL,Sales Tax,,,,,,,,"ATLANTA, GA",true,FURNITURE,,,,,,771.2,150.3,false,771.2,0,,,,false,,2022-01-19,,0,None,7,,0,,,,,1,PCS,4,,,false,,false,,CHAIR,false,,,,,,0,,Lowest Price,true,,,,0,0,,0,
PS-INV103003,10000,30000,Item,1988-S,,RESALE,2023-10-30,"SEOUL Guest Chair, red",,Piece,1,192.8,150.3,7,0,0,192.8,206.3,true,9.55,8.3,0,0.25,0,SALES,LARGE,,,,,0,,0,30000,0,false,DOMESTIC,RETAIL,Sales Tax,,,,,,,,"MIAMI, FL",true,FURNITURE,,,,,,192.8,150.3,false,192.8,0,,,,false,,2022-01-20,,0,None,11,,0,,,,,1,PCS,1,,,false,,false,,CHAIR,false,,,,,,0,,Lowest Price,true,,,,0,0,,0,
PS-INV103004,10000,50000,Item,1968-S,,RESALE,2023-10-30,"MEXICO Swivel Chair, black",,Piece,2,190.1,148.1,6,0,0,380.2,403.01,true,15.99,13.9,0,0.25,0,SALES,MEDIUM,,,,,0,,0,50000,0,false,DOMESTIC,RETAIL,Sales Tax,,,,,,,,"ATLANTA, GA",true,FURNITURE,,,,,,380.2,148.1,false,380.2,0,,,,false,,2022-01-21,,0,None,15,,0,,,,,1,PCS,2,,,false,,false,,CHAIR,false,,,,,,0,,Lowest Price,true,,,,0,0,,0,
PS-INV103005,10000,40000,Item,1960-S,,RESALE,2023-10-30,"ROME Guest Chair, green",,Piece,2,192.8,150.3,7,0,0,385.6,412.59,true,9.55,8.3,0,0.25,0,SALES,SMALL,,,,,0,,0,40000,0,false,DOMESTIC,RETAIL,Sales Tax,,,,,,,,"N.ATL., GA",true,FURNITURE,,,,,,385.6,150.3,false,385.6,0,,,,false,,2022-01-22,,0,None,7,,0,,,,,1,PCS,2,,,false,,false,,CHAIR,false,,,,,,0,,Lowest Price,true,,,,0,0,,0,
PS-INV103006,10000,20000,Item,1900-S,,RESALE,2023-10-30,"PARIS Guest Chair, black",,Piece,4,192.8,150.3,5,0,0,771.2,809.77,true,9.55,8.3,0,0.25,0,SALES,MEDIUM,,,,,0,,0,20000,0,false,DOMESTIC,RETAIL,Sales Tax,,,,,,,,"CHICAGO, IL",true,FURNITURE,,,,,,771.2,150.3,false,771.2,0,,,,false,,2022-01-23,,0,None,4,,0,,,,,1,PCS,4,,,false,,false,,CHAIR,false,,,,,,0,,Lowest Price,true,,,,0,0,,0,
PS-INV103006,20000,20000,Item,1964-S,,RESALE,2023-10-30,"TOKYO Guest Chair, blue",,Piece,5,192.8,150.3,5,0,0,964,1012.2,true,9.55,8.3,0,0.25,0,SALES,MEDIUM,,,,,0,,0,20000,0,false,DOMESTIC,RETAIL,Sales Tax,,,,,,,,"CHICAGO, IL",true,FURNITURE,,,,,,964,150.3,false,964,0,,,,false,,2022-01-23,,0,None,4,,0,,,,,1,PCS,5,,,false,,false,,CHAIR,false,,,,,,0,,Lowest Price,true,,,,0,0,,0,
PS-INV103006,30000,20000,Item,1980-S,,RESALE,2023-10-30,"MOSCOW Swivel Chair, red",,Piece,3,190.1,148.1,5,0,0,570.3,598.81,true,15.99,13.9,0,0.25,0,SALES,MEDIUM,,,,,0,,0,20000,0,false,DOMESTIC,RETAIL,Sales Tax,,,,,,,,"CHICAGO, IL",true,FURNITURE,,,,,,570.3,148.1,false,570.3,0,,,,false,,2022-01-23,,0,None,4,,0,,,,,1,PCS,3,,,false,,false,,CHAIR,false,,,,,,0,,Lowest Price,true,,,,0,0,,0,
PS-INV103007,10000,10000,Item,1896-S,,RESALE,2023-10-30,ATHENS Desk,,Piece,5,1000.8,780.7,6,0,0,5004,5304.24,true,39.79,34.6,0,1.2,0,SALES,SMALL,,,,,0,,0,10000,0,false,DOMESTIC,RETAIL,Sales Tax,,,,,,,,"ATLANTA, GA",true,FURNITURE,,,,,,5004,780.7,false,5004,0,,,,false,,2022-01-23,,0,None,7,,0,,,,,1,PCS,5,,,false,,false,,DESK,false,,,,,,0,,Lowest Price,true,,,,0,0,,0,
PS-INV103007,20000,10000,Item,1972-S,,RESALE,2023-10-30,"MUNICH Swivel Chair, yellow",,Piece,2,190.1,148.1,6,0,0,380.2,403.01,true,15.99,13.9,0,0.25,0,SALES,SMALL,,,,,0,,0,10000,0,false,DOMESTIC,RETAIL,Sales Tax,,,,,,,,"ATLANTA, GA",true,FURNITURE,,,,,,380.2,148.1,false,380.2,0,,,,false,,2022-01-23,,0,None,7,,0,,,,,1,PCS,2,,,false,,false,,CHAIR,false,,,,,,0,,Lowest Price,true,,,,0,0,,0,
